case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
product,2,current,3,1.29706,1.29667,2.5407,1.12213,1.11419,2.31084,81560
product,4,baseline,3,2.67184,1.64008,2.81324,2.22481,1.41243,3.01334,151276
product,4,current,3,1.08554,0.900089,1.4532,0.75735,0.744063,0.83067,102292
product,8,baseline,3,2.34846,2.26525,3.08916,2.53155,2.43203,3.32658,257964
product,8,current,3,2.61451,2.53157,2.84591,1.22137,1.01477,1.40885,165736
product,16,baseline,3,5.45542,5.39751,8.62584,6.4375,6.26258,15.6653,491284
product,16,current,3,2.73211,2.65615,2.90349,0.959924,0.955742,1.01769,247596
product,default,baseline,3,4.9685,4.69608,5.39619,5.78913,5.69577,7.97594,751920
product,default,current,3,3.25206,3.00283,4.61432,0.737456,0.730065,2.19956,370964
median,1,baseline,3,12.3794,10.3721,14.6937,8.65121,8.54634,9.87829,97900
median,1,current,3,10.6128,10.5626,13.0019,8.85014,8.72377,8.97765,98164
median,2,baseline,3,8.39062,8.22119,10.5414,6.94624,6.77647,8.62141,108464
median,2,current,3,8.47708,8.18159,9.04538,6.87061,6.83814,7.49081,108684
median,4,baseline,3,7.96551,7.11485,8.95415,6.30041,5.72896,7.19842,128984
median,4,current,3,5.9813,5.97627,6.69455,4.82545,4.79373,4.83751,128984
median,8,baseline,3,7.31426,6.94981,7.40288,5.91534,5.87511,6.14112,170180
median,8,current,3,4.93218,3.95813,5.00116,3.24723,2.96109,3.477,169992
median,16,baseline,3,7.45873,6.71281,9.66563,6.1368,6.0568,8.09029,252164
median,16,current,3,4.28629,4.20977,4.28963,2.62713,2.46443,2.70634,252236
median,default,baseline,3,6.69945,6.63415,7.50485,6.20873,6.0952,7.67243,374784
median,default,current,3,4.9519,4.81222,5.3917,2.02125,1.86112,2.15328,375064
quantile,1,baseline,3,10.6932,10.3724,10.9949,9.02098,8.96879,9.06721,98148
quantile,1,current,3,11.3865,10.7099,11.4102,9.40562,9.38608,9.5986,98384
quantile,2,baseline,3,8.77408,8.39108,10.7101,7.29517,7.0466,8.59232,108716
quantile,2,current,3,8.68974,8.56898,9.9228,7.26262,7.25403,7.29838,108604
quantile,4,baseline,3,7.21473,7.17542,7.26203,5.88758,5.78884,6.12741,129144
quantile,4,current,3,6.77405,6.76244,6.80635,4.86182,4.82602,4.95457,129256
quantile,8,baseline,3,7.71253,7.37716,7.83826,6.23011,6.08637,6.29498,169584
quantile,8,current,3,4.73815,4.13021,5.86419,3.32266,3.05778,3.68453,170104
quantile,16,baseline,3,7.62052,7.21631,7.65878,6.06864,6.01546,6.36227,251752
quantile,16,current,3,4.35571,4.32685,4.5659,2.6464,2.54399,2.72634,251840
quantile,default,baseline,3,7.44068,7.26129,7.87623,6.11016,6.07439,6.31817,375124
quantile,default,current,3,4.93497,4.92083,5.07145,2.02239,1.91313,2.02671,375288
mode,1,baseline,3,15.4251,14.9062,17.6407,14.3276,14.1143,16.5603,92032
mode,1,current,3,14.309,13.5079,14.5042,13.2323,12.3546,13.6757,91860
mode,2,baseline,3,10.7935,10.7309,11.057,9.75906,9.45276,9.9706,102580
mode,2,current,3,10.8316,10.5736,11.7647,9.36956,9.27414,9.38486,102580
mode,4,baseline,3,8.78904,8.44344,10.0945,7.33475,7.28926,7.47742,122836
mode,4,current,3,7.63022,7.14074,8.58006,6.04566,5.91223,6.32469,129128
mode,8,baseline,3,8.05897,7.99972,8.62604,6.93492,6.74749,6.95263,164160
mode,8,current,3,6.25398,5.33434,6.47839,4.34563,3.6591,4.64923,170096
mode,16,baseline,3,8.26857,7.42677,8.51642,7.0938,6.93412,7.34901,246040
mode,16,current,3,4.78742,4.60352,5.00277,3.0729,2.99592,3.10162,251608
mode,default,baseline,3,7.86541,7.60379,8.01364,6.68187,6.66136,6.94528,368872
mode,default,current,3,5.32972,5.29127,5.71451,2.2643,2.23944,2.56245,374992
top-bottom,1,baseline,3,16.2045,16.155,17.1171,15.044,14.8611,16.4288,104336
top-bottom,1,current,3,16.0986,15.5452,16.2429,15.2901,14.4145,15.6211,104320
top-bottom,2,baseline,3,12.4368,12.0317,14.6924,11.9175,10.987,12.2218,114564
top-bottom,2,current,3,12.1724,12.0289,13.2831,11.4129,11.2584,11.4695,114552
top-bottom,4,baseline,3,11.0059,10.7378,12.1946,9.44971,9.24068,10.0223,135380
top-bottom,4,current,3,9.31282,9.02819,10.4877,8.36305,7.91628,8.52705,135400
top-bottom,8,baseline,3,10.3323,10.1034,10.3731,8.51969,8.51149,8.72913,176196
top-bottom,8,current,3,7.41507,7.19992,8.09414,5.65515,5.48736,6.24956,176264
top-bottom,16,baseline,3,10.2422,10.1675,10.2523,8.92543,8.77014,9.35391,257916
top-bottom,16,current,3,7.10462,6.87216,8.99083,5.08641,5.07571,5.2836,258184
top-bottom,default,baseline,3,10.1203,10.0901,10.3461,9.02756,8.87715,9.2609,381408
top-bottom,default,current,3,7.31707,7.31308,7.65863,4.37288,4.32188,4.43491,381320
first-last,1,baseline,3,10.7744,10.6774,11.0288,9.73365,9.49286,9.85053,92020
